Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
PGR,Progressive Corporation (The),58.23,$33.96B,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pgr
PLD,"Prologis, Inc.",56.57,$35.61B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/pld
PUMP,ProPetro Holding Corp.,13.05,$1.09B,2017,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/pump
PRO,"PROS Holdings, Inc.",29.59,$1.1B,2007,Technology,EDP Services,https://www.nasdaq.com/symbol/pro
PBB,Prospect Capital Corporation,24.69,n/a,2015,n/a,n/a,https://www.nasdaq.com/symbol/pbb
PBC,Prospect Capital Corporation,23.44,n/a,2018,n/a,n/a,https://www.nasdaq.com/symbol/pbc
PBY,Prospect Capital Corporation,22.9548,$1.24B,2018,n/a,n/a,https://www.nasdaq.com/symbol/pby
PB,"Prosperity Bancshares, Inc.",63.48,$4.43B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/pb
PRLB,"Proto Labs, Inc.",104.13,$2.82B,2012,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/prlb
PFS,"Provident Financial Services, Inc",24.49,$1.64B,2003,Finance,Savings Institutions,https://www.nasdaq.com/symbol/pfs
PJH,"Prudential Financial, Inc.",24.53,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/pjh
PRH,"Prudential Financial, Inc.",24.26,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/prh
PRS,"Prudential Financial, Inc.",24.35,$530.5M,2018,Finance,Life Insurance,https://www.nasdaq.com/symbol/prs
PRU,"Prudential Financial, Inc.",81.27,$33.56B,2001,Finance,Life Insurance,https://www.nasdaq.com/symbol/pru
PUK,Prudential Public Limited Company,33.84,$43.86B,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/puk
PUK^,Prudential Public Limited Company,25.52,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/puk^
PUK^A,Prudential Public Limited Company,25.98,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/puk^a
PSB,"PS Business Parks, Inc.",128,$3.5B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/psb
PSB^U,"PS Business Parks, Inc.",23.87,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/psb^u
PSB^V,"PS Business Parks, Inc.",24.46,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/psb^v
PSB^W,"PS Business Parks, Inc.",21.3,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/psb^w
PSB^X,"PS Business Parks, Inc.",21.68,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/psb^x
